Plot,Name,Authors,Proceedings,FOM,Power,Jitter,FracSpur,Area,Tech,Fref,Fout,TuningRange,TuningPercent,N,FOM_N,Architecture,PhaseDetector,Oscillator,URL,Tags (optional)
TRUE,An Ultra-Low-Voltage Bias-Current-Free Fractional-N Hybrid PLL With Voltage-Mode Phase Detection and Interpolation,"Feng, Liqun & Ji, Xuansheng & Kuang, Longhao & Liao, Qianxian & Han, Su & Zhao, Jiahao & Rhee, Woogeun & Wang, Zhihua",JSSC'25,-245.5,0.78,610,-57.2,0.24,28,50,2.42,0.36,0.15,48,-262.3,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10684576,"Bias-current-free, Fractional-N, Interpolation, Linearity, Low voltage, Noise, Phase locked loops, Voltage-controlled oscillators, flip-flop phase detector (FFPD), hybrid, passive intensive, phase interpolator (PI), phase-locked loop (PLL), pseudo-differential, quantization noise (Q-noise), reference spur, time interleaved, ultra-low voltage (ULV), voltage, voltage mode"
TRUE,A 6.5-to-8-GHz Cascaded Dual-Fractional- N Digital PLL Achieving - 52.79-dBc Fractional Spur With 50-MHz Reference,"Xu, Dingxin & Zhang, Yuncheng & Huang, Hongye & Sun, Zheng & Liu, Bangan & Fadila, Ashbir Aviat & Qiu, Junjun & Liu, Zezheng & Wang, Wenqian & Xiong, Yuang & Madany, Waleed & Shirane, Atsushi & Okada, Kenichi",JSSC'25,-242.9,14.2,191,-52.7,0.48,65,50,7.25,1.5,0.21,145,-264.5,MDLL/DPLL,BB/BB,LC,https://ieeexplore.ieee.org/document/10659739,"Cascaded PLL, Frequency control, Low-pass filters, Noise, Phase locked loops, Quantization (signal), Topology, digital-to-time converter (DTC), fractional- N, frequency synthesizer, low spur, phase noise, phase-locked loop (PLL)"
TRUE,A 10-GHz Digital-PLL-Based Chirp Generator With Parabolic Non-Uniform Digital Predistortion for FMCW Radars,"Tesolin, Francesco & Dartizio, Simone M. & Castoro, Giacomo & Buccoleri, Francesco & Rossoni, Michele & Samori, Carlo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'24,-248,21,87.1,-53.7,0.34,28,250,10,1.25,0.13,40,-264,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10693572,"Background calibration, Capacitors, Chirp, Digital phase-locked loop (DPLL), Frequency modulation, Generators, Radar, Tuning, digital pre-distortion (DPD), digitally controlled oscillator (DCO), fractional-N DPLL, frequency-modulated continuous-wave (FMCW) radar, multi-gain least-mean-square (LMS) algorithm, parabolic uniform DPD, phase noise, sawtooth chirp, two-point modulation (TPM)"
TRUE,A 7.5-GHz Subharmonic Injection-Locked Clock Multiplier Featuring a 120× Multiplying Factor and 92.3-fs RMS Jitter Including Reference Spur,"Choi, Hangil & Cho, SeongHwan",JSSC'24,-259.7,2.33,67.7,,0.26,28,62.5,7.5,0.75,0.1,120,-280.5,ILCM,CP,LC,https://ieeexplore.ieee.org/document/10702551,"Calibration, Clocks, Frequency synthesizer, Phase distortion, Phase locked loops, Switches, Time-frequency analysis, Timing, Voltage-controlled oscillators, jitter, low-jitter, low-reference spur, phase noise, phase-locked loop (PLL), subharmonic injection-locked clock multiplier (SILCM), voltage-controlled oscillator (VCO)"
TRUE,A 23.2-to-26-GHz Low-Jitter Fast-Locking Sub-Sampling PLL Based on a Function-Reused VCO-Buffer and a Type-I FLL With Rapid Phase Alignment,"Li, Haoran & Xu, Tailong & Meng, Xi & Yin, Jun & Martins, Rui P. & Mak, Pui-In",JSSC'24,-253.5,19.1,48.3,,0.065,28,100,26,2.8,0.11,260,-277.6,APLL,SS,LC,https://ieeexplore.ieee.org/document/10684529,"Capacitance, Fast locking, Frequency conversion, Frequency locked loops, Frequency synthesizers, Phase locked loops, Voltage-controlled oscillators, frequency synthesis, frequency-locked loop (FLL), jitter, low jitter, millimeter-wave (mm-wave), phase-locked loop (PLL), reference (ref.) spur, sub-sampling phase detector (SSPD), voltage-controlled oscillator (VCO)"
TRUE,A Jitter Programmable Digital Bang-Bang PLL Using PVT-Invariant Stochastic Jitter Monitor,"Kim, Yong-Jo & Jang, Taekwang & Cho, SeongHwan",JSSC'24,-225,11.2,1680,,0.035,28,36,2.88,,0,80,-244,DPLL,BB,Ring,https://ieeexplore.ieee.org/document/10536156,"Bandwidth, Capacitors, Digital bang-bang phase-locked loop (DBPLL), Monitoring, Phase locked loops, System-on-chip, Voltage-controlled oscillators, jitter, process, ring oscillator, stochastic jitter monitoring circuit, voltage and temperature (PVT) variations"
TRUE,A Low-Jitter and Compact-Area Fractional-N Digital PLL With Fast Multi-Variable Calibration Using the Recursive Least-Squares Algorithm,"Jang, Seheon & Chae, Munjae & Park, Hangi & Hwang, Chanwoong & Choi, Jaehyouk",JSSC'24,-249.1,15.7,88,-68,0.12,40,100,8,1.6,0.2,80,-268.1,DPLL,BB/TDC,LC,https://ieeexplore.ieee.org/document/10682595,"Background calibration, Calibration, Correlation, Digital phase-locked loop (DPLL), LC voltage-controlled oscillator (LC VCO), Noise, Phase locked loops, Vectors, Voltage-controlled oscillators, digital-to-time converter (DTC), fractional spur, jitter, nonlinearity (NL), rms jitter"
TRUE,A 12.8–15.0-GHz Low-Jitter Fractional-N Subsampling PLL Using a Voltage-Domain Quantization-Error Cancellation,"Kim, Juyeop & Jo, Yongwoo & Park, Hangi & Seong, Taeho & Lim, Younghyun & Choi, Jaehyouk",JSSC'24,-251,7.3,104,-58,0.21,65,100,14,2.2,0.16,140,-272.5,DPLL,SS,LC,https://ieeexplore.ieee.org/document/10198514,"Fractional-N, High-k dielectric materials, Phase frequency detectors, Phase locked loops, Timing, Voltage-controlled oscillators, digital calibration, digital-to-analog converter (DAC), fractional spurs, frequency synthesizer, jitter, quantization error (Q-error), rms jitter, subsampling phase-locked loop (SSPLL), thermal noise"
TRUE,Canceling Fundamental Fractional Spurs Due to Self-Interference in a Digital Phase-Locked Loop,"Gao, Zhong & Bogdan Staszewski, Robert & Babaie, Masoud",JSSC'24,-246.2,4.4,233,-60.6,0.31,40,40,2.68,1.4,0.52,67,-264.5,DPLL,TDC,LC,https://ieeexplore.ieee.org/document/10521681,"Clocks, Coupling, Oscillators, Phase locked loops, Synchronization, fractional spurs, interference cancellation, phase-locked loop (PLL), self-interference, spur cancellation (SC)"
TRUE,Fractional-N Digital MDLL With Injection-Error Scrambling and Calibration,"Zhang, Qiaochu & Cheng, Hsiang-Chun & Su, Shiyu & Chen, Mike Shuo-Wei",JSSC'24,-230.6,13.56,1000,-67,0.23,65,50,1.5,,0,30,-245.4,MDLL,TDC,Ring,https://ieeexplore.ieee.org/document/10274897,"Calibration, Clocks, Codes, Equalizers, Injection-locked oscillators, Phase locked loops, Ring oscillators, Tracking loops, digital calibration, digital-to-time converter (DTC), dither, injection-lock, jitter, multiplying delay-locked loop (MDLL), phase noise, phase-locked loop (PLL), spur"
TRUE,A DTC-Free Fractional-N BBPLL With FIR-Embedded Injection-Locked-Oscillator-Based Phase-Domain Lowpass Filter,"Feng, Liqun & Rhee, Woogeun & Wang, Zhihua",JSSC'24,-231,4.3,1320,-59.1,0.26,65,60,2.66,,0,44,-247.47,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10374428,"Filtering, Finite impulse response filters, Fractional-N, Frequency modulation, Frequency-domain analysis, Phase locked loops, Quantization (signal), Transfer functions, bang-bang PLL (BBPLL), finite-impulse response (FIR) filter, injection-locked oscillator (ILO), phase-domain lowpass filter (PDLPF), ΔΣ quantization noise"
TRUE,A Sub-50-fsrms Jitter Fractional-N CPPLL Based on a Dual-DTC-Assisted Time-Amplifying Phase-Frequency Detector With Cascadable DTC Nonlinearity Compensation Algorithm,"Ye, Zonglin & Geng, Xinlin & Xiao, Yao & Xie, Qian & Wang, Zheng",JSSC'24,-253,23.88,45.6,-59,0.47,65,250,26.25,4,0.15,105,-273.21,APLL,CP,LC,https://ieeexplore.ieee.org/document/10402556,"Charge pump phase-locked loop (CPPLL), Fractional-N, Frequency synthesizer, Phase frequency detectors, Phase locked loops, Power demand, Quantization (signal), Resistors, Voltage-controlled oscillators, jitter, low jitter, phase noise, spur, time-amplifying phase-frequency detector (TAPFD)"
TRUE,A 16-GHz Background-Calibrated Duty-Cycled FMCW Charge-Pump PLL,"Renukaswamy, Pratap Tumkur & Vaesen, Kristof & Markulic, Nereo & Craninckx, Jan",JSSC'24,-244.6,14.3,156,-49.1,0.6,28,80,16,3.5,0.22,200,-267.61,APLL,CP,LC,https://ieeexplore.ieee.org/document/10325605,"Background calibration, CMOS, Calibration, Chirp, FMCW radar, Fractional-N, Frequency modulation, Phase locked loops, Radar, Voltage-controlled oscillators, charge pump (CP), charge-integrating digital-to-analog converter (QDAC), charge-pump phase-locked loop (CP-PLL), digital calibration, duty cycle, frequency-modulated continuous-wave (FMCW), phase-locked loop (PLL), pre-distortion, sawtooth chirp, sign extraction, two-point modulation (TPM), voltage"
TRUE,A Fractional-N Ring PLL Using Harmonic-Mixer-Based Dual-Feedback and Split-Feedback Frequency Division With Phase-Domain Filtering,"Osada, Masaru & Xu, Zule & Yang, Zunsong & Iizuka, Tetsuya",JSSC'24,-229.4,15.38,869,-49,0.112,65,40,2.9,0.239,0.08,73,-248,APLL,CP,Ring,https://ieeexplore.ieee.org/document/10416709,"Bandwidth, Dual feedback, Filtering, Frequency conversion, Phase locked loops, Quantization (signal), Voltage-controlled oscillators, fractional-N phase-locked loop (PLL), harmonic mixer (HM), inductorless, nested PLL, noise shaping, phase-domain low-pass filter (PDLPF), phase-locked loop, ring voltage-controlled oscillator (VCO), split-feedback divider"
TRUE,A Multireference PLL: Theory and Implementation,"Liu, Hongzhuo & Deng, Wei & Jia, Haikun & Zhang, Shiwei & Sun, Shiyan & Wang, Zhihua & Chi, Baoyong",JSSC'24,-256.7,83,16.1,,1.1,65,100,5.2,0.8,0.15,52,-273.86,APLL,SS,LC,https://ieeexplore.ieee.org/document/10496670,"Clocks, Crystal oscillator (XO), Inverters, Noise, Phase locked loops, System-on-chip, Voltage-controlled oscillators, jitter, phase noise (PN), reference clock, sampling phase detector (PD), voltage-controlled oscillator (VCO)"
TRUE,A Fractional-N Sampling PLL With a Merged Constant-Slope DTC and Sampling PD,"Jin, Gaofeng & Feng, Fei & Chen, Wen & Shu, Yiyang & Luo, Xun & Gao, Xiang",JSSC'24,-250,2.4,203,-57,0.36,40,100,4.3,1.2,0.28,43,-266.33,APLL,SS,LC,https://ieeexplore.ieee.org/document/10438423,"Clocks, Inverters, Phase locked loops, Switches, Voltage control, Voltage-controlled oscillators, digital-to-time converter (DTC), fractional-N mode, in-band phase noise, phase-locked loop (PLL), quantization noise (QN), sampling phase detection (SPD), voltage"
TRUE,A Radiation-Hardened 15–22-GHz Frequency Synthesizer in 22-nm FinFET,"Dolt, David & Palermo, Samuel",JSSC'24,-240.89,55.7,121,,0.17,22,250,22,7,0.32,88,-260.33,APLL,CP,LC,https://ieeexplore.ieee.org/document/10483293,"CMOS, CMOS process, Phase frequency detectors, Phase locked loops, Radiation effects, Radiation hardening (electronics), Single event upsets, Voltage-controlled oscillators, jitter, phase-locked loop (PLL), single-event upset (SEU), voltage-controlled oscillator (VCO)"
TRUE,A 6 to 12-GHz Fractional-N Frequency Synthesizer With a Digital Technique to Counter Modulus-Dependent Feedback Divider Delays,"Narayanan, Aditya & Bhat, Abhishek & Krishnapura, Nagendra",JSSC'24,-232.2,59,300,-31,0.35,65,106.25,10,6,0.6,94,-251.94,APLL,CP,LC,https://ieeexplore.ieee.org/document/10471881,"Delays, Delta-sigma modulation, Digital delta-sigma modulator (DDSM), Frequency conversion, Frequency synthesizers, Phase locked loops, Synthesizers, Voltage-controlled oscillators, feedback divider, fractional-N PLL, inductor switching, modulusdependent-divider delay, phase-locked loop (PLL), predistortion, voltagecontrolled oscillator (VCO)"
TRUE,A Low-Spur and Low-Jitter Fractional-N Digital PLL Based on an Inverse-Constant-Slope DTC and FCW Subtractive Dithering,"Dartizio, Simone M. & Tesolin, Francesco & Castoro, Giacomo & Buccoleri, Francesco & Rossoni, Michele & Cherniak, Dmytro & Samori, Carlo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'23,-250,17.2,77,-71.9,0.33,28,250,9.25,1.25,0.14,37,-265.7,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10253943,"Capacitance, Capacitors, Constant slope, Converters, Delays, Error analysis, Generators, Linearity, Phase locked loops, Quantization (signal), digital phase-locked loop (PLL), digital-to-time converter (DTC), dithering, fractional spurs, quantization error (Q-error)"
TRUE,A Novel LO Phase-Shifting System Based on Digital Bang-Bang PLLs With Background Phase-Offset Correction for Integrated Phased Arrays,"Tesolin, Francesco & Dartizio, Simone M. & Buccoleri, Francesco & Santiccioli, Alessio & Bertulessi, Luca & Samori, Carlo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'23,-251.7,20,59.78,-58.7,0.23,28,250,9.25,1.5,0.16,37,-267.4,DPLL,BB,LC,https://ieeexplore.ieee.org/document/10127860,"5G, DPLL, Fractional-N, LO phase-shifting, Mixers, PLL, Phase locked loops, Phased arrays, Power demand, Radio frequency, Transient analysis, bang-bang phase detector (BBPD), beamforming, digital-to-time converter (DTC), frequency synthesizer, low-jitter, multi-cores, multi-phase-locked loops (PLLs), phase noise, phased array"
TRUE,A Wideband LO Generator for 5G FR1 Bands Using a Single LC-VCO-Based Subsampling PLL and a Ring-VCO-Based Fractional-Resolution Frequency Multiplier,"Jo, Yongwoo & Kim, Juyeop & Shin, Yuhwan & Park, Hangi & Hwang, Chanwoong & Lim, Younghyun & Choi, Jaehyouk",JSSC'23,-250.6,17.9,135,-57,0.38,65,150,3.725,0.7,0.19,25,-264.6,DPLL/DPLL,SS/BB,LC,https://ieeexplore.ieee.org/document/10278174,"5G, 5G mobile communication, Digital systems, Frequency modulation, Generators, Oscillators, Phase locked loops, Silicon, Wideband, cascaded architecture, digital phase-locked loop (PLL), digital predistortion (DPD), frequency multiplier (FM), frequency range 1 (FR1), jitter, local oscillation (LO) generator, phase noise, rms jitter"
TRUE,A Low-Spur Fractional-N PLL Based on a Time-Mode Arithmetic Unit,"Gao, Zhong & He, Jingchu & Fritz, Martin & Gong, Jiang & Shen, Yiyu & Zong, Zhirui & Chen, Peng & Spalink, Gerd & Eitel, Ben & Alavi, Morteza S. & Staszewski, Robert Bogdan & Babaie, Masoud",JSSC'23,-249.4,3.5,182,-59,0.31,40,40,2.68,1.5,0.56,67,-267.7,DPLL,TDC,LC,https://ieeexplore.ieee.org/document/9917492,"Arithmetic, Capacitors, Clocks, Microelectronics, Phase locked loops, Switches, digital-to-time converter (DTC), fractional spur, phase-locked loop (PLL), process voltage and temperature (PVT), time-mode arithmetic unit (TAU), voltage"
FALSE,A 72-fs-Total-Integrated-Jitter Two-Core Fractional-N Digital PLL With Digital Period Averaging Calibration on Frequency Quadrupler and True-in-Phase Combiner,"Buccoleri, Francesco & Dartizio, Simone M. & Tesolin, Francesco & Avallone, Luca & Santiccioli, Alessio & Iesurum, Agata & Steffan, Giovanni & Cherniak, Dmytro & Bertulessi, Luca & Bevilacqua, Andrea & Samori, Carlo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'23,-248.7,36,72,-59.7,0.47,28,125,8.625,2,0.23,69,-267.1,DPLL,BB,LC,https://ieeexplore.ieee.org/document/9996380,"5G, Clocks, Delays, Frequency conversion, Frequency modulation, Oscillators, Phase locked loops, bang-bang phase-locked loop (PLL), jitter, low jitter, low-spot noise, quantization noise (QN)"
TRUE,A 12.9-to-15.1-GHz Digital PLL Based on a Bang-Bang Phase Detector With Adaptively Optimized Noise Shaping,"Dartizio, Simone M. & Tesolin, Francesco & Mercandelli, Mario & Santiccioli, Alessio & Shehata, Abanob & Karman, Saleh & Bertulessi, Luca & Buccoleri, Francesco & Avallone, Luca & Parisi, Angelo & Lacaita, Andrea L. & Kennedy, Michael P. & Samori, Carlo & Levantino, Salvatore",JSSC'22,-251.5,10.8,79.7,-51.1,0.21,28,250,13,2.2,0.17,52,-268.7,DPLL,BB,LC,https://ieeexplore.ieee.org/document/9566605,"5G, Detectors, Integrated circuit modeling, Phase locked loops, Quantization (signal), Standards, bang-bang phase detector (BBPD), jitter, low jitter, noise shaping, quantization noise, stochastic resonance"
TRUE,A Fractional-N Digital MDLL With Background Two-Point DTC Calibration,"Zhang, Qiaochu & Su, Shiyu & Ho, Cheng-Ru & Chen, Mike Shuo-Wei",JSSC'22,-224.8,11.95,1670,-52,0.18,65,50,1.5,,0,30,-239.6,MDLL,TDC,Ring,https://ieeexplore.ieee.org/document/9497316,"Adaptive filter, Calibration, Clocks, Delays, Error analysis, Error correction, Quantization (signal), digital calibration, digital-to-time converter (DTC), dither, dither noise cancellation, injection-lock, jitter, multiplying delay-locked loop (MDLL), phase noise, phase-locked loop (PLL), spur, time-to-digital converter (TDC)"
TRUE,A Fractional-N Digitally Intensive PLL Achieving 428-fs Jitter and <−54-dBc Spurs Under 50-mVpp Supply Ripple,"Chen, Yue & Gong, Jiang & Staszewski, Robert Bogdan & Babaie, Masoud",JSSC'22,-242.3,3.25,428,-55,0.39,40,50,4.8,0.67,0.14,96,-262.1,DPLL,TDC,LC,https://ieeexplore.ieee.org/document/9612718,"Calibration, Current digital-to-analog converter (DAC), Delays, Oscillators, Phase locked loops, Sensitivity, dc–dc converter, digitally intensive phase-locked loop (DPLL), inductor–capacitor (LC) oscillator, jitter, multimodulus divider (MMDIV), resample, ripple pattern estimation and cancellation, ripple replication and cancellation, slope generator (SG), successive approximation register (SAR) analog-to-digital converter (ADC), supply pushing, supply ripple, voltage"
TRUE,A 3.2-GHz 405 fsrms Jitter –237.2 dB FoMJIT Ring-Based Fractional-N Synthesizer,"Elmallah, Ahmed & Zhu, Junheng & Khashaba, Amr & Megawer, Karim M. & Elkholy, Ahmed & Hanumolu, Pavan Kumar",JSSC'22,-247.5,11.7,405,-50,0.61,65,52,3.85,0.4,0.1,74,-266.2,DPLL,TDC,Ring,https://ieeexplore.ieee.org/document/9695393,"Bandwidth, Clocks, Fractional-N, Frequency synthesizers, Phase locked loops, Quantization (signal), Synthesizers, high-resolution digital-to-time converter (DTC), jitter, optimum-threshold time-to-digital converter (TDC), piecewise linear (PWL) nonlinearity correction, quantization error cancellation (QEC), ring voltage-controlled oscillator (VCO), serializer-deserializer (SerDes)"
TRUE,A Low-Jitter and Low-Fractional-Spur Ring-DCO-Based Fractional-N Digital PLL Using a DTC’s Second-/Third-Order Nonlinearity Cancellation and a Probability-Density-Shaping ΔΣM,"Hwang, Chanwoong & Park, Hangi & Lee, Yongsun & Seong, Taeho & Choi, Jaehyouk",JSSC'22,-239.1,9.27,365,-63,0.146,65,100,5.3,0.8,0.15,53,-256.3,DPLL,TDC,Ring,https://ieeexplore.ieee.org/document/9690576,"Bandwidth, Codes, Digital phase-locked loop (DPLL), Phase locked loops, Probability density function, Silicon, digital-to-time converter (DTC), fractional spur, jitter, nonlinearity (NL), phase noise, ring digitally controlled oscillator (RDCO), rms jitter"
FALSE,A Fractional-N Bang-Bang PLL Based on Type-II Gear Shifting and Adaptive Frequency Switching Achieving 68.6 fs-rms-Total-Integrated-Jitter and 1.56 μs-Locking-Time,"Dartizio, Simone M. & Buccoleri, Francesco & Tesolin, Francesco & Avallone, Luca & Santiccioli, Alessio & Iesurum, Agata & Steffan, Giovanni & Cherniak, Dmytro & Bertulessi, Luca & Bevilacqua, Andrea & Samori, Carlo & Lacaita, Andrea L. & Levantino, Salvatore",JSSC'22,-250.3,20,68.6,-58.2,0.23,28,250,8.75,1.5,0.17,35,-265.7,DPLL,BB,LC,https://ieeexplore.ieee.org/document/9907041,"Bang-bang phase-locked loop (BBPLL), Phase locked loops, Time-frequency analysis, Transient analysis, fast-locking, frequency switching, gear-shifting, jitter, low-jitter"
TRUE,A Low-Jitter Ring-DCO-Based Fractional-N Digital PLL With a 1/8 DTC-Range-Reduction Technique Using a Quadruple-Timing-Margin Phase Selector,"Park, Hangi & Hwang, Chanwoong & Seong, Taeho & Choi, Jaehyouk",JSSC'22,-242.6,15.67,188,-59,0.139,65,100,5.2,1,0.19,52,-259.8,DPLL,TDC,Ring,https://ieeexplore.ieee.org/document/9870741,"Bandwidth, Digital phase-locked loop (DPLL), Dynamic range, Oscillators, Phase locked loops, Silicon, digital-to-time converter (DTC), jitter, nonlinearity, ring digitally-controlled oscillator (RDCO), rms jitter, thermal noise"
TRUE,A Reference-Waveform Oversampling Technique in a Fractional-N ADPLL,"Du, Jianglin & Siriburanon, Teerachot & Hu, Yizhe & Govindaraj, Vivek & Staszewski, Robert Bogdan",JSSC'21,-247,1.15,414,-49,0.24,28,48,2.3,0.5,0.22,48,-263.8,DPLL,TDC,LC,https://ieeexplore.ieee.org/document/9511426,"Calibration, Clocks, Crystals, Fractional-N, Oscillators, Perturbation methods, Phase locked loops, all-digital phase-locked loop (ADPLL), fast settling, jitter, low jitter, low power, reference-sampling PLL (RS-PLL), reference-waveform oversampling (ROS), successive approximation register analog-to-digital converter (SAR-ADC)"
